"","SITECODE","PERIOD","Site_P","COMMENTS","Start","End","RANGE","MID"
"108","ASS90",8,"ASS90-8","PERIOD M5, 1330-1480, FOURTH PHASE OF PRIORY",1330,1480,150,1405
"109","ASS90",9,"ASS90-9","PERIOD M6, DATED 1480-1540
FIFTH PHASE OF PRIORY",1480,1540,60,1510
"110","ATC97",2,"ATC97-2","Mid-1st- to late 2nd-C activity",43,200,157,121.5
"111","ATC97",3,"ATC97-3","Mid 2nd- to 5th-C cemetery",125,500,375,312.5
"112","ATC97",4,"ATC97-4","Medieval activity",1050,1480,430,1265
"113","ATC97",5,"ATC97-5","Post-medieval activity",1480,1997,517,1738.5
"114","AUT01",2,"AUT01-2","1740BC-AD50",-1740,50,1790,-845
"115","AUT01",3,"AUT01-3","AD50-AD70",50,70,20,60
"116","AUT01",4,"AUT01-4","AD70-AD120",70,120,50,95
"117","AUT01",5,"AUT01-5","AD120-AD200",120,200,80,160
"118","AUT01",6,"AUT01-6","AD200-END OF ROMAN PERIOD",200,410,210,305
"119","AUT01",7,"AUT01-7","MED, POST-MED AND MODERN",1050,2000,950,1525
"120","AW89",6,"AW89-6","AD 120-160",120,160,40,140
"121","AW89",8,"AW89-8","AD 200-270",200,270,70,235
"122","AYB95",8,"AYB95-8","PERIOD M5, 1330-1480, FOURTH PHASE OF PRIORY",1330,1480,150,1405
"123","AYF08",5,"AYF08-5","POST-MEDIEVAL: THE ABBEY PRECINCT AFTER THE DISSOLUTION, 1538-1700",1538,1700,162,1619
"124","AYF08",6,"AYF08-6","POST-MEDIEVAL: LATER DEVELOPMENTS AT 'WEST HAM ABBY' 1700-ABOUT 1840",1700,1840,140,1770
"125","AYF08",7,"AYF08-7","INDUSTRIALISATION AND URBAN DEVELOPMENT, ABOUT 1840-1970",1840,1970,130,1905
"126","BA84",3,"BA84-3","AD 50-70",50,70,20,60
"127","BA84",4,"BA84-4","AD 70-100",70,100,30,85
"128","BA84",5,"BA84-5","AD 100-120",100,120,20,110
"129","BA84",6,"BA84-6","AD 120-160",120,160,40,140
"130","BA84",7,"BA84-7","AD 160-200",160,200,40,180
"131","BA84",8,"BA84-8","AD 200-270",200,270,70,235
"132","BA84",9,"BA84-9","AD 270-350",270,350,80,310
"133","BAD89",10,"BAD89-10","PERIOD P1, DATED 1540-1650, DISSOLUTION (BRIEF REFOUNDING) AND POST-MED MANSIONS",1540,1650,110,1595
"134","BAD89",2,"BAD89-2","PERIOD R1, the Roman landscape, c40-400",40,400,360,220
"135","BAD89",4,"BAD89-4","PERIOD M1, The Norman landscape, 1066-1144",1066,1144,78,1105
"136","BAD89",7,"BAD89-7","PERIOD M4, DATED 1270-1330, THIRD PHASE OF PRIORY",1270,1330,60,1300
"137","BAD89",8,"BAD89-8","PERIOD M5, 1330-1480, FOURTH PHASE OF PRIORY",1330,1480,150,1405
"138","BAD89",9,"BAD89-9","PERIOD M6, DATED 1480-1540
FIFTH PHASE OF PRIORY",1480,1540,60,1510
"139","BAK99",1,"BAK99-1","MEDIEVAL ?LATE 13TH CENTURY BUILDINGS",1250,1300,50,1275
"140","BAK99",2,"BAK99-2","16TH CENTURY DUMPS",1500,1600,100,1550
"141","BAK99",3,"BAK99-3","EARLY 17TH CENTURY BUILDINGS",1600,1650,50,1625
"142","BAK99",4,"BAK99-4","LATE 17TH CENTURY INDUSTRIAL BUILDINGS AND ACTIVITY",1650,1700,50,1675
"143","BAK99",5,"BAK99-5","18TH CENTURY INDUSTRIAL  BUILDINGS",1700,1800,100,1750
"144","BAK99",6,"BAK99-6","LATE 18TH /19TH CENTURY INDUSTRIAL BUILDINGS",1750,1900,150,1825
"145","BAK99",7,"BAK99-7","19TH CENTURY INDUSTRIAL BUILDINGS AND ACTIVITY",1800,1900,100,1850
"146","BAK99",8,"BAK99-8","20TH CENTURY ACTIVITY",1900,2000,100,1950
"147","BAN95",2,"BAN95-2","11TH/12TH CENTURY CONSOLIDATION DEPOSITS ASSIII: 12th-13th C consolidation dumps",1100,1300,200,1200
"148","BAN95",3,"BAN95-3","13TH/14TH CENTURY BUILDINGS ASSIII: 13th-15th C development",1200,1500,300,1350
"149","BAN95",4,"BAN95-4","15TH/16TH/17TH CENTURY BUILDINGS AND DEPOSITS ASSIII: 16th & 17th Cs",1500,1700,200,1600
"150","BAN95",5,"BAN95-5","18TH/19TH CENTURY BRICK BUILDINGS AND DEPOSITS",1700,1900,200,1800
"151","BAQ90",10,"BAQ90-10","AD 350+",350,410,60,380
"152","BAQ90",3,"BAQ90-3","AD 50-70",50,70,20,60
"153","BAQ90",9,"BAQ90-9","AD 270-350",270,350,80,310
"154","BAX95",2,"BAX95-2","Roman AD 50-120",50,120,70,85
"155","BAX95",3,"BAX95-3","Roman AD 120-60",120,160,40,140
"156","BAX95",4,"BAX95-4","Roman AD 160-250",160,250,90,205
"157","BAX95",5,"BAX95-5","Roman AD 250-400",250,400,150,325
"158","BAX95",6,"BAX95-6","Medieval AD 900-1200",900,1200,300,1050
"159","BAX95",7,"BAX95-7","Medieval 1200-1500",1200,1500,300,1350
"160","BAX95",8,"BAX95-8","Post-medieval",1500,1900,400,1700
"161","BAZ05",10,"BAZ05-10","CELLARS AND EXTERNAL FEATURES ASSOCIATED WITH THE WHITE BEAR INN. 1500-1700",1500,1700,200,1600
"162","BAZ05",11,"BAZ05-11","EXTERNAL FEATURES OF ?GEORGIAN BLDGS FOLLOWED BY CONSTRUCTION OF GUILDHALL CHAMBERS (VIC). 1780-1945",1780,1945,165,1862.5
"163","BAZ05",2,"BAZ05-2","CLEARANCE & LEVELLING. BLDGS & WELL. 110/120 - 140",110,140,30,125
"164","BAZ05",3,"BAZ05-3","NEW BLDGS & THE ARRIVAL OF THE GLASS WORKERS. 140 - 160/170",140,170,30,155
"165","BAZ05",4,"BAZ05-4","BLDGS OUT OF USE AND END OF GLASS WORKING. BIG GLASS. 160/170 - 180",160,180,20,170
"166","BAZ05",5,"BAZ05-5","180-400, THO ONLY ACTIVITY IS DATED 220/230-300. ABANDONED AT TIMES",220,300,80,260
"167","BAZ05",6,"BAZ05-6","PITTING & DUMPING REPRESENTING DISPOSAL FROM SETTLED AREA. 1050-1150",1050,1150,100,1100
"168","BAZ05",7,"BAZ05-7","CLAY&TIMBER BLDGS ALONG STREET FRONTAGE WITH PITTING&DUMPING BEHIND.1150-1250",1150,1250,100,1200
"169","BAZ05",8,"BAZ05-8","CONSTRUCTION OF TENEMENTS AT WEST, ANCILLARY BLDGS AT BACK. 3 PHASES IN PERIOD.1250-1400???!! NIGEL?",1250,1400,150,1325
"170","BAZ05",9,"BAZ05-9","PROPERTY RE-ORGANISATION - ARRIVAL OF THE WHITE BEAR INN? 1400-1500",1400,1500,100,1450
"171","BBB05",2,"BBB05-2","AD 50 - AD 100/120",50,120,70,85
"172","BBB05",3,"BBB05-3","AD 100/120 - AD 160/250",100,250,150,175
"173","BBB05",4,"BBB05-4","AD 250 - AD 400/420",250,420,170,335
"174","BBB05",5,"BBB05-5","AD 900 - AD 1200",900,1200,300,1050
"175","BBB05",6,"BBB05-6","AD 1200 - AD 1480",1200,1480,280,1340
"176","BBB05",7,"BBB05-7","AD 1480 - AD 1800",1480,1800,320,1640
"177","BBB05",8,"BBB05-8","AD 1800 - PRESENT",1800,2000,200,1900
"178","BDE00",2,"BDE00-2","AD 50 - AD 100/120",50,120,70,85
"179","BDE00",3,"BDE00-3","AD 100/120 - AD 160/250",100,250,150,175
"180","BDE00",4,"BDE00-4","AD 250 - AD 400/420",250,420,170,335
"181","BDE00",5,"BDE00-5","AD 900 - AD 1200",900,1200,300,1050
"182","BDE00",7,"BDE00-7","AD 1480 -	AD 1800",1480,1800,320,1640
"183","BDF89",3,"BDF89-3","MID 7TH CENTURY TO MID 8TH CENTURY",600,750,150,675
"184","BDF89",6,"BDF89-6","GROUP 3 MID 7TH TO MID 9TH CENTURY, OTHER GROUPS PROBABLY CONTEMPORANEOUS",650,850,200,750
"185","BDS89",6,"BDS89-6","MID 7TH TO MID 9TH CENTURY",650,850,200,750
"186","BDS89",7,"BDS89-7","LATE SAXON TO MEDIEVAL",850,1485,635,1167.5
"187","BFN88",10,"BFN88-10","The end of Fastolf Place and changes to the waterfront in the 17th C",1600,1700,100,1650
"188","BFN88",2,"BFN88-2","Activity in the Roman period",43,410,367,226.5
"189","BFN88",3,"BFN88-3","Activity from the 11th to the 13th C",1000,1300,300,1150
"190","BFN88",4,"BFN88-4","Dunley's Place and the Rosary in the 14th C",1324,1400,76,1362
"191","BFN88",5,"BFN88-5","Dunley's Place and the reclamation of the Thames waterfront in the late 14th and early 15th centuries",1350,1440,90,1395
"192","BFN88",6,"BFN88-6","Fastolf Place (the former Dunley's Place): its moats and river frontage in the mid 15th C",1440,1475,35,1457.5
"193","BFN88",7,"BFN88-7","Fastolf Place: waterfront development and the construction of a tidal mill, late 15th to early 16th C",1459,1550,91,1504.5
"194","BFN88",8,"BFN88-8","Fastolf Place: changes in the first half of the 16th C",1500,1550,50,1525
"195","BFN88",9,"BFN88-9","Fastolf Place: further changes to the moats and waterfronts in the late 16th C",1550,1600,50,1575
"196","BGB98",10,"BGB98-10","18TH CENTURY ONWARDS ACTIVITY c 1680-20th C",1680,2000,320,1840
"197","BGB98",2,"BGB98-2","1ST AND 2ND CENTURY ACTIVITY AD 50-170",50,170,120,110
"198","BGB98",3,"BGB98-3","3RD AND 4TH CENTURY ACTIVITY AD 170-400",170,400,230,285
"199","BGB98",5,"BGB98-5","SAXO-NORMAN ACTIVITY C.900-C.1150 AD 1050-1150",1050,1150,100,1100
"200","BGB98",6,"BGB98-6","12TH CENTURY ACTIVITY c. 1150-1197",1150,1197,47,1173.5
"201","BGB98",7,"BGB98-7","13TH AND 14TH CENTURY ACTIVITY c 1197-1400",1197,1400,203,1298.5
"202","BGB98",8,"BGB98-8","15TH CENTURY ACTIVITY c1400 – mid 16th C",1400,1575,175,1487.5
"203","BGB98",9,"BGB98-9","16TH AND 17TH CENTURY ACTIVITY mid 16th C - 1680",1525,1680,155,1602.5
"204","BGE98",10,"BGE98-10","Secularisation, 1480-1539",1480,1539,59,1509.5
"205","BGE98",11,"BGE98-11","Post-Dissolution, 1538-1600",1538,1600,62,1569
"206","BGE98",12,"BGE98-12","17th C activity",1600,1680,80,1640
"207","BGE98",13,"BGE98-13","Late 17th to 19th C activity",1680,1900,220,1790
"208","BGE98",2,"BGE98-2","AD 43-150",43,150,107,96.5
"209","BGE98",3,"BGE98-3","AD140-410",140,410,270,275
"210","BGE98",4,"BGE98-4","Pre-monastic, 1050-1150",1050,1150,100,1100
"211","BGE98",5,"BGE98-5","The first foundation, 1150-1235",1150,1235,85,1192.5
"212","BGE98",6,"BGE98-6","Refoundation, 1235-1280",1235,1280,45,1257.5
"213","BGE98",7,"BGE98-7","Catastrophe and expansion, 1280-1350",1280,1350,70,1315
"214","BGE98",8,"BGE98-8","Consolidation, 1350-1400",1350,1400,50,1375
"215","BGE98",9,"BGE98-9","Expansion, 1400-1480",1400,1480,80,1440
"216","BGH95",1,"BGH95-1","AD55",55,55,0,55
"217","BGH95",2,"BGH95-2","AD55-61",55,61,6,58
"218","BGH95",3,"BGH95-3","AD61/2",61,62,1,61.5
"219","BGH95",4,"BGH95-4","AD62-100",62,100,38,81
"220","BGH95",5,"BGH95-5","AD100-20",100,120,20,110
"221","BGH95",6,"BGH95-6","AD120-60",120,160,40,140
"222","BGH95",7,"BGH95-7","AD160+",160,410,250,285
"223","BGS97",10,"BGS97-10","c1600-c1740",1600,1740,140,1670
"224","BGS97",11,"BGS97-11","c1740-c1834",1740,1834,94,1787
"225","BGS97",9,"BGS97-9","c1540-c1600",1540,1600,60,1570
"226","BGX05",10,"BGX05-10","AD1600-1700",1600,1700,100,1650
"227","BGX05",11,"BGX05-11","1700-1830",1700,1830,130,1765
"228","BGX05",12,"BGX05-12","1830+",1830,2000,170,1915
"229","BGX05",3,"BGX05-3","Early Roman activity",50,160,110,105
"230","BGX05",6,"BGX05-6","Saxo-Norman (early medieval-pre-priory/medieval) activity",1000,1150,150,1075
"231","BGX05",7,"BGX05-7","Medieval priory and settlement (1150-1350)",1150,1350,200,1250
"232","BGX05",8,"BGX05-8","Medieval priory and settlement (1350-1540)",1350,1540,190,1445
"233","BGX05",9,"BGX05-9","Post-dissolution 1540-1600",1540,1600,60,1570
"234","BII00",2,"BII00-2","EARLY TO MID ROMAN - QUARRIES/SOME CESS&RUBBISH&ONE SPECIAL PIT(4) 70-160",70,160,90,115
"235","BII00",3,"BII00-3","LATER ROMAN PITS 200-400",200,400,200,300
"236","BII00",4,"BII00-4","EARLY MEDIEVAL PITS 1050-1200",1050,1200,150,1125
"237","BII00",5,"BII00-5","LATER MEDIEVAL PITS 1200-1500",1200,1500,300,1350
"238","BII00",6,"BII00-6","2 POST MEDIEVAL PITS, ONE BRICK-LINED 1500-1700",1500,1700,200,1600
"239","BKO00",1,"BKO00-1","EARLY IRON AGE",-800,-400,400,-600
"240","BKO00",2,"BKO00-2","LATE ROMAN",200,410,210,305
"241","BKO00",3,"BKO00-3","MEDIEVAL",1066,1485,419,1275.5
"242","BKO00",4,"BKO00-4","TUDOR	",1485,1603,118,1544
"243","BKS88",4,"BKS88-4","MID 8TH TO MID 9TH CENTURY",750,850,100,800
"244","BKS88",6,"BKS88-6","PROBABLY MIDDLE SAXON (MID 7TH CENTURY TO MID 9TH CENTURY)",650,850,200,750
"245","BNL12",2,"BNL12-2","EARLY TO MID IRON AGE",-800,-100,700,-450
"246","BNL12",3,"BNL12-3","ROMAN",43,410,367,226.5
"247","BNL12",4,"BNL12-4","POST-ROMAN",410,2000,1590,1205
"248","BOB91",3,"BOB91-3","MC7-MC8. POST CHAFF TEMPERED WARES. NB INCLUDES PRE SETTLEMENT BURIALS",625,775,150,700
"249","BOB91",4,"BOB91-4","MC8-MC9. POST INTRODUCTION OF IPSWICH WARE",725,875,150,800
"250","BOB91",5,"BOB91-5","LC8-MC9. POST INTRODUCTION OF SHELLY WARES ETC",750,875,125,812.5
"251","BOB91",7,"BOB91-7","MC9-EC17. 'DARK EARTH'. HERE JUST C12TH PITS = FIRST POST SETTLEMENT USE",1100,1200,100,1150
"252","BOG89",10,"BOG89-10","Secularisation, 1480-1539",1480,1539,59,1509.5
"253","BOG89",11,"BOG89-11","Post-Dissolution, 1538-1600",1538,1600,62,1569
"254","BOG89",12,"BOG89-12","17th C activity",1600,1680,80,1640
"255","BOG89",13,"BOG89-13","Late 17th to 19th C activity",1680,1900,220,1790
"256","BOG89",2,"BOG89-2","AD 43-150",43,150,107,96.5
"257","BOG89",3,"BOG89-3","AD140-410",140,410,270,275
"258","BOG89",4,"BOG89-4","Pre-monastic, 1050-1150",1050,1150,100,1100
"259","BOG89",5,"BOG89-5","The first foundation, 1150-1235",1150,1235,85,1192.5
"260","BOG89",6,"BOG89-6","Refoundation, 1235-1280",1235,1280,45,1257.5
"261","BOG89",7,"BOG89-7","Catastrophe and expansion, 1280-1350",1280,1350,70,1315
"262","BOG89",8,"BOG89-8","Consolidation, 1350-1400",1350,1400,50,1375
"263","BOG89",9,"BOG89-9","Expansion, 1400-1480",1400,1480,80,1440
"264","BOL94",1000,"BOL94-1000","OCCUPATION C 1050-1200 = PERIOD 10 IN MOLA MONOGRAPHS 37-38",1050,1200,150,1125
"265","BOL94",12,"BOL94-12","DEVELOPMENT AFTER C 1500 = PERIOD 12 IN MOLA MONOGRAPHS 37-38",1500,2000,500,1750
"266","BOL94",2,"BOL94-2","AD 45-65",43,65,22,54
"267","BOL94",201,"BOL94-201","EARLIEST ROMAN OCCUPATION  C. AD48-53 = PERIOD 2 PHASE 1 IN MOLA MONOGRAPHS 37-38",48,53,5,50.5
"268","BOL94",202,"BOL94-202","DEVELOPMENT UP TO BOUDICAN FIRE C. AD53-60/1 = PERIOD 2 PHASE 2 IN MOLA MONOGRAPHS 37-38",53,61,8,57
"269","BOL94",203,"BOL94-203","BOUDICAN FIRE DEBRIS = PERIOD 2 PHASE 3 IN MOLA MONOGRAPHS 37-38",60,61,1,60.5
"270","BOL94",3,"BOL94-3","AD 65-95",65,95,30,80
"271","BOL94",301,"BOL94-301","FLAVIAN REOCCUPATION AND DEVELOPMENT C. AD65-95 = PERIOD 3 PHASE 1 IN MOLA MONOGRAPHS 37-38",65,95,30,80
"272","BOL94",36,"BOL94-36","EARLY MEDIEVAL DEVELOPMENT: ROWS OF SURFACE-LAID BLDGS INCL. SHOPS; ASSOC  RDS; EXT. ACTIVITIES",410,1066,656,738
"273","BOL94",401,"BOL94-401","TRAJANIC HADRIANIC DEVELOPMENT C. AD95-125/35 = PERIOD 4 PHASE 1 IN MOLA MONOGRAPHS 37-38",95,135,40,115
"274","BOL94",402,"BOL94-402","HADRIANIC FIRE DEBRIS = PERIOD 4 PHASE 2 IN MOLA MONOGRAPHS 37-38",120,140,20,130
"275","BOL94",5,"BOL94-5","AD 125-220+",125,220,95,172.5
"276","BOL94",500,"BOL94-500","SECOND CENTURY AD AFTER HADRIANIC FIRE C. AD 125-220 = PERIOD 5 IN MOLA MONOGRAPHS 37-38",125,220,95,172.5
"277","BOL94",6,"BOL94-6","AD 220-340+",220,350,130,285
"278","BOL94",600,"BOL94-600","CONTINUED DEVELOPMENT C. AD 220-LATE 4TH CENTURY = PERIOD 6 IN MOLA MONOGRAPHS 37-38",220,400,180,310
"279","BOL94",7,"BOL94-7","Late 4th C AD +",350,1000,650,675
"280","BOL94",9,"BOL94-9","1000-1050",1000,1050,50,1025
"281","BOS87",10,"BOS87-10","Secularisation, 1480-1539",1480,1539,59,1509.5
"282","BOS87",11,"BOS87-11","Post-Dissolution, 1538-1600",1538,1600,62,1569
"283","BOS87",12,"BOS87-12","17th C activity",1600,1680,80,1640
"284","BOS87",13,"BOS87-13","Late 17th to 19th C activity",1680,1900,220,1790
